,name,date,operation type,amount
217,Iyla Tate,2020-05-20,opex,14.098285452604664
218,Iyla Tate,2020-09-26,clawback,2.802115908433778
219,Havin Cope,2020-02-03,income,210.28382142985984
220,Frazer Bone,2020-05-07,income,337.87063885955513
221,Marie Pugh,2020-02-24,income,37.821089171993655
222,Marie Pugh,2020-07-22,income,390.6094228562684
223,Frazer Bone,2020-08-29,income,1199.4435986466538
224,Frazer Bone,2020-03-09,income,412.0599225336224
225,Frazer Bone,2020-07-10,opex,4.971020491739788
226,Iyla Tate,2020-10-15,opex,116.2091068074802
227,Havin Cope,2020-06-25,income,435.93064876439524
228,Grady Kearney,2020-04-07,clawback,70.47002571158053
229,Frazer Bone,2020-05-10,income,99.37743624531052
230,Marie Pugh,2020-02-23,income,133.91029686695094
231,Frazer Bone,2020-05-14,opex,130.0644522627264
232,Havin Cope,2020-03-12,opex,12.251844458303012
233,Grady Kearney,2020-08-20,income,20.507225567416686
234,Marie Pugh,2020-07-13,opex,61.82698576045359
235,Havin Cope,2020-08-19,clawback,354.60468057605
236,Iyla Tate,2020-10-10,clawback,45.246482650700166
237,Havin Cope,2020-04-14,opex,81.85647583418182
238,Havin Cope,2020-03-16,income,171.6695058083574
239,Frazer Bone,2020-09-09,income,70.13852786286023
240,Marie Pugh,2020-03-30,opex,39.50993926017044
241,Marie Pugh,2020-07-03,clawback,102.94704234695551
242,Frazer Bone,2020-02-06,opex,25.252254959795767
243,Havin Cope,2020-08-21,opex,112.26660805643476
244,Havin Cope,2020-01-21,income,160.07918650144794
245,Iyla Tate,2020-07-16,income,51.61598330290702
246,Iyla Tate,2020-06-13,clawback,79.52974920287691
247,Havin Cope,2020-05-07,opex,7.881746018987462
248,Frazer Bone,2020-02-24,opex,18.444156909415987
249,Grady Kearney,2020-08-02,opex,32.3247750767077
250,Havin Cope,2020-03-04,income,301.5219606717729
251,Marie Pugh,2020-02-23,opex,4.411659800851272
252,Grady Kearney,2020-06-05,opex,18.60823530386453
253,Frazer Bone,2020-09-14,income,5.310211282432325
254,Marie Pugh,2020-03-16,clawback,199.77472089119343
255,Frazer Bone,2020-03-08,opex,64.45270581978941
256,Iyla Tate,2020-06-24,clawback,2.5198592913993134
257,Iyla Tate,2020-11-26,clawback,202.8588415673772
258,Havin Cope,2020-01-07,clawback,154.51316581865
259,Marie Pugh,2020-04-25,income,296.4008778140758
260,Havin Cope,2020-07-06,opex,62.83770167989851
261,Frazer Bone,2020-08-13,opex,41.39768571734926
262,Marie Pugh,2020-01-24,clawback,779.7399139105058
263,Marie Pugh,2020-03-12,income,267.4871575660504
264,Marie Pugh,2020-06-19,clawback,306.2868863813664
265,Havin Cope,2020-02-08,opex,6.149576154250645
266,Iyla Tate,2020-11-12,opex,30.617156915549952
267,Iyla Tate,2020-10-20,opex,0.07735990983317877
268,Frazer Bone,2020-06-02,income,22.104802668762932
269,Grady Kearney,2020-02-10,opex,12.750550108293373
270,Iyla Tate,2020-11-15,clawback,519.9518866316924
271,Iyla Tate,2020-07-13,opex,16.223117836263555
272,Marie Pugh,2020-06-24,clawback,56.00043038835781
273,Marie Pugh,2020-04-17,income,336.3164720129709
274,Havin Cope,2020-07-08,opex,4.755429896348404
275,Frazer Bone,2020-06-27,income,404.00956133658406
276,Frazer Bone,2020-04-18,opex,100.30140600452341
277,Havin Cope,2020-05-29,income,2.678777394551572
278,Iyla Tate,2020-11-08,income,104.96703149157219
279,Havin Cope,2020-05-15,income,542.2862598812964
280,Grady Kearney,2020-06-07,opex,54.857424512743115
281,Marie Pugh,2020-08-21,opex,43.82308552631836
282,Grady Kearney,2020-01-20,income,741.3023394376359
283,Havin Cope,2020-01-18,income,14.693459939243086
284,Grady Kearney,2020-01-20,income,547.6073740539617
285,Grady Kearney,2020-01-31,clawback,57.34678632400203
286,Havin Cope,2020-06-10,opex,12.404685622137196
287,Havin Cope,2020-05-29,clawback,43.00415770253598
288,Frazer Bone,2020-05-01,income,34.86332682884454
289,Frazer Bone,2020-03-20,clawback,84.9487884213053
290,Iyla Tate,2020-10-22,clawback,437.7259391165846
291,Grady Kearney,2020-05-31,clawback,275.87919588785456
292,Grady Kearney,2020-01-12,opex,42.90033879928048
293,Marie Pugh,2020-07-17,opex,45.51358994333969
294,Iyla Tate,2020-10-07,opex,136.79420727200616
295,Grady Kearney,2020-01-31,clawback,180.5101716009783
296,Havin Cope,2020-01-04,income,373.6136422834273
297,Iyla Tate,2020-10-05,opex,17.019548473921745
298,Grady Kearney,2020-02-19,opex,62.53839386426839
299,Frazer Bone,2020-09-08,opex,11.574572945765544
300,Frazer Bone,2020-05-28,opex,82.59342926772814
301,Marie Pugh,2020-08-05,opex,33.459425247932565
302,Havin Cope,2020-08-15,income,212.96661397676763
303,Grady Kearney,2020-01-19,clawback,11.430331146183645
304,Havin Cope,2020-05-10,income,213.33708277768181
305,Frazer Bone,2020-06-01,opex,70.29604771838913
306,Iyla Tate,2020-11-29,opex,124.4339348036019
307,Iyla Tate,2020-11-14,income,1208.9209987352863
308,Frazer Bone,2020-08-22,clawback,564.667062200549
309,Iyla Tate,2020-10-30,income,396.17981975232294
310,Iyla Tate,2020-08-03,opex,124.00103051164723
311,Marie Pugh,2020-05-06,opex,6.756534802943811
312,Havin Cope,2020-03-10,income,42.82501942108618
313,Havin Cope,2020-07-29,opex,10.948148994365516
314,Havin Cope,2020-01-04,clawback,12.752056173563123
315,Havin Cope,2020-03-07,income,219.32683094373988
316,Iyla Tate,2020-10-15,income,53.139338496810055
317,Frazer Bone,2020-04-19,opex,107.66668712364402
318,Marie Pugh,2020-08-24,opex,22.446756167592394
319,Frazer Bone,2020-08-29,income,100.90177428035945
320,Frazer Bone,2020-08-18,income,17.705050194087598
321,Marie Pugh,2020-04-18,opex,92.60770116191571
322,Iyla Tate,2020-08-04,opex,119.02694708202661
323,Havin Cope,2020-07-05,income,195.2122180025391
324,Marie Pugh,2020-04-18,opex,38.83812714014194
325,Havin Cope,2020-03-29,opex,117.52836011696996
326,Frazer Bone,2020-04-10,opex,158.33232280730846
327,Havin Cope,2020-01-03,income,36.88327006210917
328,Marie Pugh,2020-08-13,income,135.54257719945002
329,Marie Pugh,2020-07-06,income,134.88305111477692
330,Marie Pugh,2020-08-27,income,42.38487769553848
331,Grady Kearney,2020-02-16,clawback,11.235478254587834
332,Grady Kearney,2020-06-23,opex,6.21442833415472
333,Iyla Tate,2020-10-12,income,1.4154320029722436
334,Iyla Tate,2020-11-30,opex,45.49052663184825
335,Grady Kearney,2020-07-20,opex,70.94400358536865
336,Marie Pugh,2020-07-27,income,265.6560179946664
337,Grady Kearney,2020-06-09,income,839.6870221163922
338,Grady Kearney,2020-06-17,income,330.4578739438609
339,Havin Cope,2020-07-05,income,49.58030392812836
340,Iyla Tate,2020-11-18,income,443.5028251790065
341,Marie Pugh,2020-07-29,opex,12.06479202397723
342,Frazer Bone,2020-06-27,opex,62.185407033050446
343,Marie Pugh,2020-04-25,opex,103.65672428429598
344,Havin Cope,2020-08-17,income,606.6268224841813
345,Grady Kearney,2020-05-15,income,45.41700766594041
346,Havin Cope,2020-04-28,clawback,1215.3396080788796
347,Frazer Bone,2020-06-20,opex,9.553933336853564
348,Havin Cope,2020-02-20,opex,8.596338982406346
349,Marie Pugh,2020-02-15,opex,19.31751237971044
350,Grady Kearney,2020-08-23,income,211.09264281994555
351,Grady Kearney,2020-07-31,opex,40.250996398929864
352,Iyla Tate,2020-06-28,opex,22.11712523908184
353,Iyla Tate,2020-08-09,clawback,1.3030464642934698
354,Marie Pugh,2020-03-23,opex,129.02932093866139
355,Iyla Tate,2020-12-04,income,149.5686122499513
356,Frazer Bone,2020-08-04,clawback,111.4057028115405
357,Iyla Tate,2020-08-29,income,416.9121813799889
358,Grady Kearney,2020-08-09,income,114.06666486875552
359,Marie Pugh,2020-07-18,income,317.02887069547614
360,Havin Cope,2020-07-31,clawback,44.81731146691923
361,Havin Cope,2020-04-07,clawback,8.753507505060083
362,Grady Kearney,2020-02-20,opex,4.817809098649178
363,Marie Pugh,2020-02-05,clawback,222.7269983096618
364,Grady Kearney,2020-06-13,clawback,387.49583583414824
365,Marie Pugh,2020-04-28,opex,94.0747160298286
366,Havin Cope,2020-04-03,income,583.5182909169756
367,Havin Cope,2020-03-18,opex,60.51237537042369
368,Iyla Tate,2020-04-11,income,100.9569935558849
369,Frazer Bone,2020-05-26,opex,8.545807649484557
370,Frazer Bone,2020-07-19,opex,96.61792923086757
371,Frazer Bone,2020-04-20,income,141.3217362382224
372,Frazer Bone,2020-06-19,income,341.01894266003006
373,Havin Cope,2020-03-21,income,514.2976585935498
374,Havin Cope,2020-06-10,opex,65.02270631922207
375,Frazer Bone,2020-02-18,income,99.26629746037337
376,Havin Cope,2020-03-31,opex,44.61377069511568
377,Grady Kearney,2020-06-10,income,313.6674298045588
378,Grady Kearney,2020-02-04,clawback,159.04178128772085
379,Grady Kearney,2020-05-29,clawback,114.02393303105356
380,Iyla Tate,2020-08-02,clawback,474.1471592067951
381,Marie Pugh,2020-07-30,income,287.83435605228425
382,Iyla Tate,2020-04-26,income,37.21772513188751
383,Grady Kearney,2020-07-09,income,37.023959275002746
384,Iyla Tate,2020-11-05,income,392.0445195933185
385,Havin Cope,2020-04-09,income,398.2843570403918
386,Marie Pugh,2020-06-04,opex,1.322800697313096
387,Marie Pugh,2020-02-18,clawback,7.934244452080598
388,Havin Cope,2020-05-06,opex,47.959169606772576
389,Grady Kearney,2020-06-10,opex,2.9374460029586493
390,Frazer Bone,2020-08-03,income,57.378414707555685
391,Frazer Bone,2020-05-20,clawback,21.62852073707034
392,Frazer Bone,2020-08-30,opex,28.576134544023752
393,Iyla Tate,2020-05-20,opex,25.639544844841623
394,Grady Kearney,2020-06-09,income,571.5340680600265
395,Grady Kearney,2020-08-23,income,263.1548324050289
396,Havin Cope,2020-03-21,clawback,11.857674632312213
397,Marie Pugh,2020-03-31,income,380.80476431246007
398,Havin Cope,2020-05-01,income,88.46237293946137
399,Marie Pugh,2020-08-03,income,0.5637153247777685
400,Havin Cope,2020-01-17,income,886.3430114642133
401,Iyla Tate,2020-05-10,opex,28.870859059997798
402,Grady Kearney,2020-03-20,income,47.08501238333456
403,Frazer Bone,2020-03-17,income,240.89916153487553
404,Havin Cope,2020-07-23,income,281.0394461037602
405,Iyla Tate,2020-06-28,income,775.298003358915
406,Marie Pugh,2020-06-30,income,145.78721666256098
407,Iyla Tate,2020-08-17,clawback,40.99789583595732
408,Grady Kearney,2020-04-06,opex,114.67585152398485
409,Marie Pugh,2020-01-15,clawback,278.1985987511777
410,Grady Kearney,2020-04-24,opex,29.274622649211263
411,Frazer Bone,2020-03-05,opex,60.97448202408346
412,Havin Cope,2020-07-13,clawback,234.011336517314
413,Iyla Tate,2020-10-19,opex,11.617911587506944
414,Marie Pugh,2020-03-28,clawback,49.82013626819896
415,Iyla Tate,2020-07-05,opex,66.76166180202536
416,Iyla Tate,2020-09-01,income,516.2869767987954
417,Marie Pugh,2020-07-18,opex,202.64391431159297
418,Marie Pugh,2020-03-14,income,432.5432068879428
419,Grady Kearney,2020-06-17,opex,38.120798627551196
420,Frazer Bone,2020-05-22,clawback,306.9122168044986
421,Marie Pugh,2020-05-17,clawback,386.4130277109187
422,Iyla Tate,2020-11-27,income,326.5954521218387
423,Grady Kearney,2020-08-02,income,97.08657748357611
424,Grady Kearney,2020-08-06,opex,63.71200156184542
425,Iyla Tate,2020-06-05,opex,4.47251801630591
426,Marie Pugh,2020-07-12,income,332.4725529715611
427,Iyla Tate,2020-07-30,income,483.9345336663676
428,Frazer Bone,2020-07-25,opex,64.95691706415175
429,Iyla Tate,2020-09-07,opex,2.568510497540269
430,Frazer Bone,2020-03-12,clawback,223.93865855742828
431,Havin Cope,2020-04-19,clawback,24.334263412863347
432,Frazer Bone,2020-04-17,opex,18.28981166686258
433,Marie Pugh,2020-08-21,income,98.2752906009228
434,Marie Pugh,2020-01-19,income,227.54070490780722
435,Grady Kearney,2020-01-24,clawback,409.7631101819101
436,Grady Kearney,2020-01-29,income,32.522424581180175
437,Havin Cope,2020-06-21,opex,14.061516661468962
438,Marie Pugh,2020-07-01,opex,77.62966214083526
439,Havin Cope,2020-02-26,income,80.26445343160712
440,Frazer Bone,2020-06-12,clawback,43.751686129289205
441,Havin Cope,2020-04-12,clawback,651.1562166933547
442,Marie Pugh,2020-01-10,clawback,131.12415587444517
443,Marie Pugh,2020-02-18,opex,25.12886853739125
444,Frazer Bone,2020-03-23,opex,39.225412720529974
445,Frazer Bone,2020-06-11,income,456.8799532925491
446,Grady Kearney,2020-06-01,income,127.12529984879598
447,Frazer Bone,2020-05-29,clawback,126.38269004967154
448,Grady Kearney,2020-03-25,income,233.8386451227753
449,Havin Cope,2020-04-28,clawback,232.17632121689516
450,Marie Pugh,2020-04-20,clawback,78.59716159709568
451,Frazer Bone,2020-09-20,income,294.54913712354994
452,Frazer Bone,2020-08-05,income,96.75927531941139
453,Marie Pugh,2020-08-04,income,4.550292678596535
454,Grady Kearney,2020-06-11,opex,110.33248313634863
455,Havin Cope,2020-02-07,income,17.981153102218546
456,Grady Kearney,2020-04-29,income,116.60224236550866
457,Frazer Bone,2020-06-25,opex,129.54812208947945
458,Grady Kearney,2020-03-25,income,189.45808370875577
459,Havin Cope,2020-03-13,income,6.58759392618428
460,Havin Cope,2020-08-19,clawback,1047.1503860478374
461,Grady Kearney,2020-05-21,income,273.20153141260164
462,Marie Pugh,2020-07-10,income,94.02158123036112
463,Havin Cope,2020-06-16,clawback,189.06378856361496
464,Frazer Bone,2020-06-01,income,582.4920175793125
465,Iyla Tate,2020-10-03,clawback,10.242644385038464
466,Iyla Tate,2020-04-18,income,15.803245632398058
467,Grady Kearney,2020-02-05,income,0.07679698674787995
468,Grady Kearney,2020-05-15,income,38.28786542294422
469,Havin Cope,2020-05-26,opex,45.17780751685238
470,Iyla Tate,2020-08-22,income,331.0535521742525
471,Havin Cope,2020-04-06,opex,42.846571311889335
472,Havin Cope,2020-05-28,opex,76.92988650824255
473,Marie Pugh,2020-05-06,opex,11.31891146465074
474,Marie Pugh,2020-01-10,income,151.43399985724557
475,Marie Pugh,2020-02-20,opex,182.49753812962206
476,Iyla Tate,2020-11-29,opex,32.008033255229385
477,Iyla Tate,2020-09-01,opex,11.87211590608875
478,Iyla Tate,2020-07-24,opex,38.33317008092758
479,Havin Cope,2020-08-23,opex,99.12015765841498
480,Marie Pugh,2020-07-11,income,287.4375668403193
481,Frazer Bone,2020-07-16,clawback,2.1154959935817197
482,Grady Kearney,2020-05-09,income,22.32600571785746
483,Marie Pugh,2020-08-21,opex,111.76759574897956
484,Frazer Bone,2020-09-16,opex,40.72643103505997
485,Iyla Tate,2020-07-29,clawback,112.24270469061055
486,Marie Pugh,2020-02-26,clawback,446.949301141053
487,Grady Kearney,2020-02-11,income,529.3123599645377
488,Iyla Tate,2020-08-25,clawback,32.595470704516465
489,Frazer Bone,2020-02-21,clawback,36.61486055393387
490,Grady Kearney,2020-01-22,income,927.9620495064368
491,Frazer Bone,2020-07-13,clawback,383.2623222227134
492,Frazer Bone,2020-06-08,clawback,97.64473064448931
493,Frazer Bone,2020-03-19,income,414.2388219852003
494,Havin Cope,2020-01-31,income,106.35052014920004
495,Marie Pugh,2020-04-14,clawback,31.871775272736947
496,Marie Pugh,2020-05-17,opex,46.96164210565113
497,Havin Cope,2020-07-12,opex,52.86962348056574
498,Marie Pugh,2020-03-30,opex,2.7030898543654502
499,Iyla Tate,2020-04-28,opex,84.57492459640909
500,Grady Kearney,2020-02-29,income,221.1430909231039
501,Frazer Bone,2020-08-22,income,684.491198349401
502,Havin Cope,2020-04-15,income,228.70845252874483
503,Frazer Bone,2020-08-11,opex,76.11831273860571
504,Grady Kearney,2020-01-09,income,735.645801373878
